Title,Overview,Release Date,Vote Average,Vote Count,Runtime,Budget,Revenue,Popularity,Production Countries,Production Companies,Genres
Tomorrow You're Gone,"Charlie Rankin, recently released from prison, seeks vengeance for his jail-house mentor William ""The Buddha"" Pettigrew. Along the way, he meets the ethereal, yet streetwise, Florence Jane. They embark on a unlikely road trip, careening towards an unlikely redemption and uncertain resolution.",2012-10-31,4.45,40,91,0,0,5.711,['United States of America'],['Deed Films'],['Thriller']
Blue-Eyed Butcher,"A woman appeared to have a fairy-tale life, but six years into her marriage, the fairytale crumbles when her husband is found buried in the backyard of their home with numerous stab wounds.",2012-03-03,6.0,40,85,0,0,7.685,['United States of America'],['Lifetime'],"['Drama', 'Crime', 'Thriller', 'TV Movie']"
Hirokin: The Last Samurai,"In a planet where humans must scavenge the post-apocalyptic barren wasteland, Hirokin – a reluctant warrior with a dark past – sets off on mission to fulfill his destiny. Having fought to the death to save his wife and son from the planets evil dictator – Griffin – and his elite army of hunters, the lone warrior is left for dead in the vast desert. Armed with his samurai blade, Hirokin is forced to choose between avenging the murder of his family and fighting for the freedom his people. In a twist of fate and with a small rebellion by his side Hirokin s vision finally becomes clear.",2012-04-23,3.7,40,105,0,0,4.759,['United States of America'],['Hirokin Productions'],"['Action', 'Adventure', 'Drama', 'Science Fiction']"
Devoured,Malevolent forces within the walls of an old restaurant torment a cleaning woman who is trying to earn enough money to pay for her son's operation.,2012-05-05,5.679,39,89,1,0,3.325,['United States of America'],"['Secret Weapon Films', 'Gravitas Ventures']","['Thriller', 'Horror', 'Drama']"
Revenge for Jolly!,"Harry is having a very, very bad day. He returns home from an all-night drinking binge with his cousin Cecil, to discover that his little dog Jolly...Harry's one true love and the source of light in his dark, solitary life-has been murdered. Brokenhearted and beyond consolation, he vows to track down the dog's murderer at any cost. Armed with a stockpile of firepower in the trunk of his car, he and Cecil embark on a frenzied, alcohol-fueled wild-goose chase, leaving a bloody path of destruction in their wake.",2012-07-17,4.846,39,85,10000000,0,5.867,['United States of America'],['Sony Pictures Home Entertainment'],"['Comedy', 'Drama']"
TalhotBlond,"Thomas Montgomery, a married father of two young daughters, gets seduced by the world of online gambling and chat rooms where a virtual romance and sexual obsession ultimately leads to the murder of an innocent man.",2012-06-23,6.577,39,88,0,0,6.636,['United States of America'],"['Lasky Productions', 'Sony Pictures Television Studios', 'Silver Screen Pictures', 'Motion Picture Corporation of America']","['Drama', 'TV Movie']"
100 Ghost Street: The Return of Richard Speck,"A group of paranormal investigators sojourned to the Chicago walk-up where deranged drifter Richard Speck systematically slew eight student nurses back in ’66, looking for restless spirits. Their unfortunate success gets shockingly documented in this fear-filled found-footage foray featuring a bright young cast.",2012-07-24,4.5,39,84,150,0,3.38,['United States of America'],['The Asylum'],['Horror']
Crooked Arrows,A native-American lacrosse team makes its way through a prep school league tournament.,2012-05-18,6.154,39,95,13000000,1832541,6.943,['United States of America'],[],['Drama']
Ecstasy of Order: The Tetris Masters,"A documentary that captures the greatest world record Tetris players as they prepare for the Classic Tetris World Championship. From the days of Thor Aackerlund and his historic victory at the 1990 Nintendo World Championships, right up to the present and Harry Hong's perfect ""Max-Out"" score, this documentary expertly chronicles over two decades of Tetris Mastery.",2012-02-23,6.833,39,93,0,0,3.137,['United States of America'],['Reclusion Films'],['Documentary']
Sexting in Suburbia,"moody daughters, Rachel and Dina have a close relationship. Dina tells her everything... or so Rachel thinks. When Dina suddenly commits suicide, Rachel is devastated and confused. Her search for answers as to what happened in her daughter's final days leads her to some painful discoveries about the secrets that Dina was trying to keep and the bullying that was tearing her apart.",2012-01-14,5.7,39,86,0,0,5.995,['United States of America'],"['Moody Independent', 'MarVista Entertainment', 'H9 Films']","['Drama', 'Thriller', 'TV Movie']"
A Taste of Romance,"Uptight French chef, Sara Westbrook, gets fired up when her upscale café, Chez Varenne, is suddenly overshadowed by a new restaurant moving in next door run by a group of rowdy firemen. Led by handsome former fire fighter Gill Callahan and his friend Danny, The Five Alarm Grill is soon a big success while Sara and Patsy, her pastry chef, struggle to bring in customers.  Sara suddenly softens when she meets Gill's ten-year-old daughter Hannah. Ignoring the obvious tension between her dad and Sara, Hannah is soon playing matchmaker. Can Gill and Sara's burgeoning romance survive the temptation to compete with each other, or will the heat of competition drive them apart?",2012-01-14,6.462,39,87,0,0,4.423,['United States of America'],['Hallmark Entertainment'],"['Family', 'Romance', 'Drama', 'Comedy', 'TV Movie']"
For Ellen,"After an overnight long-distance drive, Joby has a special meeting—with lawyers and his ex-wife. A struggling musician with the prerequisite tattoos, slimy hair, goatee, and his head firmly floating in the clouds, Joby hasn’t been around to be a dad. Now is his last chance to fight for shared custody of his daughter, Ellen.",2012-02-12,5.59,39,93,0,0,4.19,['United States of America'],"['DeerJen', 'RCR Media Group']",['Drama']
Hitched for the Holidays,"A couple of single adults agree to pose as each others  significant other throughout the holidays to keep their meddling families from harassing them, only to find that their feelings for each other are real.",2012-11-25,6.5,38,90,0,0,4.084,"['Canada', 'United States of America']","['Front Street Pictures', 'Hitching Road Productions', 'Hallmark Entertainment']","['Romance', 'TV Movie']"
Sassy Pants,"Desperate to get out from under her overprotective mother, a home-schooled teen runs off to live with her dad, and forms a bond with his much-younger boyfriend.",2012-10-26,5.8,38,87,0,0,3.681,['United States of America'],[],"['Comedy', 'Drama']"
Bronies: The Extremely Unexpected Adult Fans of My Little Pony,"A film profiling the unusual cross-demographic fandom of the ostensibly girl oriented television series ""My Little Pony: Friendship Is Magic""",2012-11-04,5.108,37,88,348164,0,2.947,['United States of America'],['Big Focus Television'],['Documentary']
A Christmas Wedding Date,"After being fired, Rebecca hours back to her old home town to attend her friends wedding on Christmas Eve and visit her mother. But when she tries to return home she finds she must relive Christmas Eve over and over until she gets it right.",2012-12-02,5.1,37,82,0,0,5.698,['United States of America'],"['Hybrid', 'Synthetic Filmwerx', 'ARO Entertainment', 'Lancom Entertainment']","['Comedy', 'Romance', 'TV Movie']"
Mass Effect: Paragon Lost,"An untold chapter in the Mass Effect saga, following the early career of Alliance Marine, James Vega, as he leads a squad of elite special forces into battle against a mysterious alien threat known as The Collectors. Stationed at a colony in a remote star system, Vega and his troops must protect the inhabitants from an invasion of the deadly insectoid warriors determined to collect the population for unknown purposes. Soon after the attack, Vega's commanding officer falls in battle, forcing the young officer to embrace the responsibility of leadership for the colony's survival. Having idolized Earth's greatest hero and warrior, Commander Shepard (the central character in the Mass Effect video games), the young and idealistic Vega must now make life and the death decisions that will effect not only the lives of his squad, but the lives of every person in the colony - all of whom he has sworn to protect...",2012-12-28,6.2,37,84,0,0,4.509,"['Japan', 'United States of America']","['Funimation Global Group', 'Electronic Arts', 'BioWare', 'Production I.G', 'T.O. Entertainment']","['Animation', 'Action', 'Science Fiction']"
All About Christmas Eve,"'Tis the Season for Evelyn Wright...literally, she is a party planner in NYC.  At the last minute Eve finds out that one of her agency's top clients is throwing a HUGE Christmas event, in LA, on Christmas Eve!  Eve must decide whether to take on the event or risk her career to go on a romantic vacation with her boyfriend Darren.  Unbeknownst to Eve, her future all depends on whether or not she makes a plane.  We see it both ways, in parallel.",2012-12-09,4.944,36,88,0,0,6.271,['United States of America'],['Production Media Group'],"['Comedy', 'Romance', 'TV Movie']"
Una Noche,"In Havana, Raul dreams of escaping to Miami. Accused of assault, he appeals to Elio to help him reach the forbidden world 90 miles across the ocean. One night, full of hope, they face the biggest challenge of their lives.",2012-04-19,5.6,36,90,0,0,2.663,"['Cuba', 'United Kingdom', 'United States of America']",['Una Noche Films'],['Drama']
